taxonomy_id	species	genus	family	order	class	phylum	kingdom
33899	Streptomyces galilaeus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
2717324	Streptomyces liangshanensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
1960	Streptomyces vinaceus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
2842453	Amycolatopsis aidingensis	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacteria
67345	Streptomyces prasinus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
3051092	Streptomyces vilmorinianum	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
2768068	Streptomyces genisteinicus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
36818	Streptomyces subrutilus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
28894	Streptomyces nitrosporeus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
68278	Streptomyces tuirus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
163604	Nocardiopsis exhalans	Nocardiopsis	Nocardiopsaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacteria
42881	Streptomyces chromofuscus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
3031124	Streptomyces cathayae	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
227318	Actinocatenispora thailandica	Actinocatenispora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacteria
2710756	Streptomyces bathyalis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
2213200	Nocardia mangyaensis	Nocardia	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2831969	Nocardiopsis changdeensis	Nocardiopsis	Nocardiopsaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacteria
2736640	Pseudonocardia broussonetiae	Pseudonocardia	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacteria
1612552	Actinoalloteichus fjordicus	Actinoalloteichus	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacteria
2126346	Peterkaempfera bronchialis	Peterkaempfera	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
390989	Actinocatenispora sera	Actinocatenispora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacteria
709879	Micromonospora halotolerans	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacteria
2991496	Streptomyces endophytica	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
2294034	Micromonospora craniellae	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacteria
2964669	Streptomyces changanensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
1411117	Thermomonospora amylolytica	Thermomonospora	Thermomonosporaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacteria
1914461	Micromonospora terminaliae	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacteria
2749844	Micromonospora ferruginea	Micromonospora	Micromonosporaceae	Micromonosporales	Actinomycetes	Actinomycetota	Bacteria
1990687	Rhodococcus oxybenzonivorans	Rhodococcus	Nocardiaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2831968	Nocardiopsis akebiae	Nocardiopsis	Nocardiopsaceae	Streptosporangiales	Actinomycetes	Actinomycetota	Bacteria
146017	Mycolicibacterium boenickei	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
37331	Pseudonocardia petroleophila	Pseudonocardia	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacteria
1534349	Mycolicibacterium helvum	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
73044	Streptomyces seoulensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacteria
39695	Mycolicibacterium tokaiense	Mycolicibacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2792008	Pseudonocardia abyssalis	Pseudonocardia	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacteria
1719132	Mycobacterium vicinigordonae	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
44010	Mycobacterium conspicuum	Mycobacterium	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
