taxonomy_id	species	genus	family	order	class	phylum	kingdom
1069221	Mycolicibacillus parakoreensis	Mycolicibacillus	Mycobacteriaceae	Mycobacteriales	Actinomycetes	Actinomycetota	Bacteria
2283195	Ornithinimicrobium avium	Ornithinimicrobium	Ornithinimicrobiaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2816859	Arthrobacter sunyaminii	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
1496080	Brevibacterium pigmentatum	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2566013	Cellulomonas shaoxiangyii	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
1285901	Tessaracoccus defluvii	Tessaracoccus	Propionibacteriaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2803858	Nocardioides faecalis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2509457	Xylanimonas protaetiae	Xylanimonas	Promicromonosporaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
75385	Micropruina glycogenica	Micropruina	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2608402	Cellulomonas palmilytica	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2541726	Microbacterium wangchenii	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2509459	Xylanimonas allomyrinae	Xylanimonas	Promicromonosporaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2017484	Brachybacterium vulturis	Brachybacterium	Dermabacteraceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2714938	Nocardioides piscis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2895818	Arthrobacter antioxidans	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2934161	Ornithinimicrobium cryptoxanthini	Ornithinimicrobium	Ornithinimicrobiaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacteria
2079793	Aeromicrobium chenweiae	Aeromicrobium	Nocardioidaceae	Propionibacteriales	Actinomycetes	Actinomycetota	Bacteria
2789776	Actinomarinicola tropica	Actinomarinicola	Iamiaceae	Acidimicrobiales	Acidimicrobiia	Actinomycetota	Bacteria
